vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2010Q4,2010-10,1232,1232,189,13132125,777312.2258363472,0.16226858461246393,507.36768237322224,713.9642857142857,13.222905844155845,0.0,0.1534090909090909,0.05919165602188124,Matured outcome usable
2010Q4,2010-11,1224,1224,175,13481475,759883.3525621761,0.15627960905909202,510.80066421650616,717.1511437908497,13.118333333333334,0.0,0.14297385620915032,0.05636500105234599,Matured outcome usable
2010Q4,2010-12,1335,1335,161,14289000,806976.005591212,0.15841968154247152,509.5056435626092,717.1086142322098,13.013198501872658,0.0,0.12059925093632959,0.05647533106523983,Matured outcome usable
2011Q1,2011-01,1380,1380,186,14824575,834710.6319500309,0.15656790187943934,510.2581672326877,718.0036231884058,13.544282608695653,0.0,0.13478260869565217,0.05630587264390587,Matured outcome usable
2011Q1,2011-02,1298,1298,169,14601275,809972.1965967832,0.1546813442677153,511.2588918605976,719.0454545454545,13.792850539291216,0.0,0.13020030816640987,0.05547270334931595,Matured outcome usable
2011Q1,2011-03,1448,1448,210,16567325,947579.0613889893,0.15713543576881345,510.06406986929966,717.9150552486187,13.585883977900552,0.0,0.14502762430939226,0.05719565840526394,Matured outcome usable
2011Q2,2011-04,1563,1563,222,17542075,993502.3524216833,0.15782268029957777,509.83948953387517,718.7018554062699,13.796609085092769,0.0,0.1420345489443378,0.05663539532362524,Matured outcome usable
2011Q2,2011-05,1704,1704,290,19327950,1092007.3444926608,0.15746198988162813,509.777700505141,716.8503521126761,13.603127934272301,0.0,0.17018779342723006,0.05649887052132589,Matured outcome usable
2011Q2,2011-06,1835,1835,271,20940200,1172849.3946009555,0.15616518674311286,510.51687263615855,717.8882833787466,13.811367847411445,0.0,0.14768392370572206,0.05600946479025776,Matured outcome usable
2011Q3,2011-07,1875,1875,282,21337600,1229457.7628972202,0.15903785859210348,509.1025534333774,716.9813333333333,13.837653333333332,0.0,0.1504,0.057619308774052386,Matured outcome usable
