feature,business_meaning,bin,accounts,good_accounts,bad_accounts,bad_rate,woe,iv_bin,iv_variable
purpose_exp,Loan purpose risk profile.,moving,1131,911,220,0.1945181255526083,-0.2268702184064092,0.00034323225995053864,0.03241535377612989
purpose_exp,Loan purpose risk profile.,other,8628,7135,1493,0.17304126101066294,-0.08210415075394487,0.00032672813029718654,0.03241535377612989
purpose_exp,Loan purpose risk profile.,renewable_energy,95,77,18,0.18947368421052632,-0.21355691336320423,2.568079448931182e-05,0.03241535377612989
purpose_exp,Loan purpose risk profile.,small_business,1682,1245,437,0.25980975029726516,-0.5998484887336605,0.004001798825521851,0.03241535377612989
purpose_exp,Loan purpose risk profile.,vacation,1058,919,139,0.13137996219281664,0.2397013251447291,0.0003061699492128253,0.03241535377612989
purpose_exp,Loan purpose risk profile.,wedding,7,7,0,0.0,1.0619860834639836,3.396196636401495e-05,0.03241535377612989
home_ownership_exp,Housing stability proxy.,MORTGAGE,90644,78583,12061,0.13305900004412868,0.22792898645659623,0.02379429362840115,0.04603530338571557
home_ownership_exp,Housing stability proxy.,OWN,19340,16019,3321,0.1717166494312306,-0.07282396355949544,0.0005743860166269264,0.04603530338571557
home_ownership_exp,Housing stability proxy.,RENT,73018,58824,14194,0.19439042427894493,-0.2245103364476721,0.021666623740687497,0.04603530338571557
verification_status_exp,Income/identity verification status.,Not Verified,52642,47495,5147,0.09777364081911781,0.5759096041876554,0.07805235604648551,0.11091190540874338
verification_status_exp,Income/identity verification status.,Source Verified,77885,64330,13555,0.17403864672273223,-0.08897271681504709,0.003471289546912313,0.11091190540874338
verification_status_exp,Income/identity verification status.,Verified,52475,41601,10874,0.2072224868985231,-0.3044985802000257,0.029388259815345562,0.11091190540874338
application_type_exp,Individual or joint application.,Individual,182877,153326,29551,0.16158948364201076,0.0002072790051000737,4.2931993059002864e-08,5.694934161283697e-05
application_type_exp,Individual or joint application.,Joint App,125,100,25,0.2,-0.2747485762796211,5.6906409619777964e-05,5.694934161283697e-05
